medida;tiempo;canal;id;valor
voltageReceiver1;05/04/2025 0:07;b;7;1706
voltageReceiver2;05/04/2025 0:07;b;7;1624
status;05/04/2025 0:07;ALL;7;1
voltageReceiver1;05/04/2025 0:07;a;7;1718
voltageReceiver2;05/04/2025 0:07;a;7;1588
status;05/04/2025 0:07;ALL;7;1
voltageReceiver1;05/04/2025 0:07;b;7;1682
voltageReceiver2;05/04/2025 0:07;b;7;1624
status;05/04/2025 0:08;ALL;7;1
voltageReceiver1;05/04/2025 0:08;a;7;1753
voltageReceiver2;05/04/2025 0:08;a;7;1588
status;05/04/2025 0:08;ALL;7;1
voltageReceiver1;05/04/2025 0:08;b;7;1741
voltageReceiver2;05/04/2025 0:08;b;7;1624
status;05/04/2025 0:08;ALL;7;1
voltageReceiver1;05/04/2025 0:08;a;7;1753
voltageReceiver2;05/04/2025 0:08;a;7;1588
status;05/04/2025 0:08;ALL;7;1
voltageReceiver1;05/04/2025 0:08;b;7;1718
voltageReceiver2;05/04/2025 0:08;b;7;1624
status;05/04/2025 0:09;ALL;7;1
voltageReceiver1;05/04/2025 0:09;a;7;1753
voltageReceiver2;05/04/2025 0:09;a;7;1588
status;05/04/2025 0:09;ALL;7;1
voltageReceiver1;05/04/2025 0:09;b;7;1741
voltageReceiver2;05/04/2025 0:09;b;7;1635
status;05/04/2025 0:09;ALL;7;1
voltageReceiver1;05/04/2025 0:09;a;7;1753
voltageReceiver2;05/04/2025 0:09;a;7;1588
status;05/04/2025 0:09;ALL;7;1
voltageReceiver1;05/04/2025 0:09;b;7;1729
voltageReceiver2;05/04/2025 0:09;b;7;1635
status;05/04/2025 0:10;ALL;7;1
voltageReceiver1;05/04/2025 0:10;a;7;1753
voltageReceiver2;05/04/2025 0:10;a;7;16
status;05/04/2025 0:10;ALL;7;1
voltageReceiver1;05/04/2025 0:10;b;7;1753
voltageReceiver2;05/04/2025 0:10;b;7;1635
status;05/04/2025 0:10;ALL;7;1
voltageReceiver1;05/04/2025 0:10;a;7;1753
voltageReceiver2;05/04/2025 0:10;a;7;1588
status;05/04/2025 0:10;ALL;7;1
voltageReceiver1;05/04/2025 0:10;b;7;1753
voltageReceiver2;05/04/2025 0:10;b;7;1635
status;05/04/2025 0:11;ALL;7;1
voltageReceiver1;05/04/2025 0:11;a;7;1765
voltageReceiver2;05/04/2025 0:11;a;7;1588
status;05/04/2025 0:11;ALL;7;1
voltageReceiver1;05/04/2025 0:11;b;7;1741
voltageReceiver2;05/04/2025 0:11;b;7;1635
status;05/04/2025 0:11;ALL;7;1
voltageReceiver1;05/04/2025 0:11;a;7;1765
voltageReceiver2;05/04/2025 0:11;a;7;1588
status;05/04/2025 0:11;ALL;7;1
voltageReceiver1;05/04/2025 0:11;b;7;1753
voltageReceiver2;05/04/2025 0:11;b;7;1635
status;05/04/2025 0:12;ALL;7;1
voltageReceiver1;05/04/2025 0:12;a;7;1741
voltageReceiver2;05/04/2025 0:12;a;7;1588
status;05/04/2025 0:12;ALL;7;1
voltageReceiver1;05/04/2025 0:12;b;7;1706
voltageReceiver2;05/04/2025 0:12;b;7;1635
status;05/04/2025 0:12;ALL;7;1
voltageReceiver1;05/04/2025 0:12;a;7;1741
voltageReceiver2;05/04/2025 0:12;a;7;1588
status;05/04/2025 0:12;ALL;7;1
voltageReceiver1;05/04/2025 0:12;b;7;1718
voltageReceiver2;05/04/2025 0:12;b;7;1635
status;05/04/2025 0:13;ALL;7;1
voltageReceiver1;05/04/2025 0:13;a;7;1741
voltageReceiver2;05/04/2025 0:13;a;7;1588
status;05/04/2025 0:13;ALL;7;1
voltageReceiver1;05/04/2025 0:13;b;7;1706
voltageReceiver2;05/04/2025 0:13;b;7;1624
status;05/04/2025 0:13;ALL;7;1
voltageReceiver1;05/04/2025 0:13;a;7;1741
voltageReceiver2;05/04/2025 0:13;a;7;1588
status;05/04/2025 0:13;ALL;7;1
voltageReceiver1;05/04/2025 0:13;b;7;1718
voltageReceiver2;05/04/2025 0:13;b;7;1624
status;05/04/2025 0:14;ALL;7;1
voltageReceiver1;05/04/2025 0:14;a;7;1741
voltageReceiver2;05/04/2025 0:14;a;7;1588
status;05/04/2025 0:14;ALL;7;1
voltageReceiver1;05/04/2025 0:14;b;7;1694
voltageReceiver2;05/04/2025 0:14;b;7;1624
status;05/04/2025 0:14;ALL;7;1
voltageReceiver1;05/04/2025 0:14;a;7;1741
voltageReceiver2;05/04/2025 0:14;a;7;1588
status;05/04/2025 0:14;ALL;7;1
voltageReceiver1;05/04/2025 0:14;b;7;1694
voltageReceiver2;05/04/2025 0:14;b;7;1624
status;05/04/2025 0:15;ALL;7;1
voltageReceiver1;05/04/2025 0:15;a;7;1718
voltageReceiver2;05/04/2025 0:15;a;7;16
status;05/04/2025 0:15;ALL;7;1
voltageReceiver1;05/04/2025 0:15;b;7;1706
voltageReceiver2;05/04/2025 0:15;b;7;1624
status;05/04/2025 0:15;ALL;7;1
voltageReceiver1;05/04/2025 0:15;a;7;1718
voltageReceiver2;05/04/2025 0:15;a;7;1588
status;05/04/2025 0:15;ALL;7;1
voltageReceiver1;05/04/2025 0:15;b;7;1694
voltageReceiver2;05/04/2025 0:15;b;7;1624
status;05/04/2025 0:16;ALL;7;1
voltageReceiver1;05/04/2025 0:16;a;7;1741
voltageReceiver2;05/04/2025 0:16;a;7;1588
status;05/04/2025 0:16;ALL;7;1
voltageReceiver1;05/04/2025 0:16;b;7;1729
voltageReceiver2;05/04/2025 0:16;b;7;1624
status;05/04/2025 0:16;ALL;7;1
voltageReceiver1;05/04/2025 0:16;a;7;1729
voltageReceiver2;05/04/2025 0:16;a;7;1588
status;05/04/2025 0:16;ALL;7;1
voltageReceiver1;05/04/2025 0:16;b;7;1718
voltageReceiver2;05/04/2025 0:16;b;7;1624
status;05/04/2025 0:17;ALL;7;1
voltageReceiver1;05/04/2025 0:17;a;7;1729
voltageReceiver2;05/04/2025 0:17;a;7;1588
status;05/04/2025 0:17;ALL;7;1
voltageReceiver1;05/04/2025 0:17;b;7;1729
voltageReceiver2;05/04/2025 0:17;b;7;1635
status;05/04/2025 0:17;ALL;7;1
voltageReceiver1;05/04/2025 0:17;a;7;1729
voltageReceiver2;05/04/2025 0:17;a;7;1588
status;05/04/2025 0:17;ALL;7;1
voltageReceiver1;05/04/2025 0:17;b;7;1718
voltageReceiver2;05/04/2025 0:17;b;7;1624
status;05/04/2025 0:18;ALL;7;1
voltageReceiver1;05/04/2025 0:18;a;7;1741
voltageReceiver2;05/04/2025 0:18;a;7;1588
status;05/04/2025 0:18;ALL;7;1
voltageReceiver1;05/04/2025 0:18;b;7;1741
voltageReceiver2;05/04/2025 0:18;b;7;1624
status;05/04/2025 0:18;ALL;7;1
voltageReceiver1;05/04/2025 0:18;a;7;1729
voltageReceiver2;05/04/2025 0:18;a;7;1588
status;05/04/2025 0:18;ALL;7;1
voltageReceiver1;05/04/2025 0:18;b;7;1741
voltageReceiver2;05/04/2025 0:18;b;7;1624
status;05/04/2025 0:19;ALL;7;1
voltageReceiver1;05/04/2025 0:19;a;7;1765
voltageReceiver2;05/04/2025 0:19;a;7;1588
status;05/04/2025 0:19;ALL;7;1
voltageReceiver1;05/04/2025 0:19;b;7;1741
voltageReceiver2;05/04/2025 0:19;b;7;1624
status;05/04/2025 0:19;ALL;7;1
voltageReceiver1;05/04/2025 0:19;a;7;1765
voltageReceiver2;05/04/2025 0:19;a;7;1588
status;05/04/2025 0:19;ALL;7;1
voltageReceiver1;05/04/2025 0:19;b;7;1753
voltageReceiver2;05/04/2025 0:19;b;7;1624
status;05/04/2025 0:20;ALL;7;1
voltageReceiver1;05/04/2025 0:20;a;7;1753
voltageReceiver2;05/04/2025 0:20;a;7;16
status;05/04/2025 0:20;ALL;7;1
voltageReceiver1;05/04/2025 0:20;b;7;1729
voltageReceiver2;05/04/2025 0:20;b;7;1635
status;05/04/2025 0:20;ALL;7;1
voltageReceiver1;05/04/2025 0:20;a;7;1753
voltageReceiver2;05/04/2025 0:20;a;7;16
status;05/04/2025 0:20;ALL;7;1
voltageReceiver1;05/04/2025 0:20;b;7;1729
voltageReceiver2;05/04/2025 0:20;b;7;1635
status;05/04/2025 0:21;ALL;7;1
voltageReceiver1;05/04/2025 0:21;a;7;1765
voltageReceiver2;05/04/2025 0:21;a;7;1588
status;05/04/2025 0:21;ALL;7;1
voltageReceiver1;05/04/2025 0:21;b;7;1741
voltageReceiver2;05/04/2025 0:21;b;7;1624
status;05/04/2025 0:21;ALL;7;1
voltageReceiver1;05/04/2025 0:21;a;7;1765
voltageReceiver2;05/04/2025 0:21;a;7;1588
status;05/04/2025 0:21;ALL;7;1
voltageReceiver1;05/04/2025 0:21;b;7;1741
voltageReceiver2;05/04/2025 0:21;b;7;1624
status;05/04/2025 0:22;ALL;7;1
voltageReceiver1;05/04/2025 0:22;a;7;1741
voltageReceiver2;05/04/2025 0:22;a;7;1588
status;05/04/2025 0:22;ALL;7;1
voltageReceiver1;05/04/2025 0:22;b;7;1718
voltageReceiver2;05/04/2025 0:22;b;7;1624
status;05/04/2025 0:22;ALL;7;1
voltageReceiver1;05/04/2025 0:22;a;7;1753
voltageReceiver2;05/04/2025 0:22;a;7;1588
status;05/04/2025 0:22;ALL;7;1
voltageReceiver1;05/04/2025 0:22;b;7;1729
voltageReceiver2;05/04/2025 0:22;b;7;1624
status;05/04/2025 0:23;ALL;7;1
voltageReceiver1;05/04/2025 0:23;a;7;1718
voltageReceiver2;05/04/2025 0:23;a;7;16
status;05/04/2025 0:23;ALL;7;1
voltageReceiver1;05/04/2025 0:23;b;7;1694
voltageReceiver2;05/04/2025 0:23;b;7;1624
status;05/04/2025 0:23;ALL;7;1
voltageReceiver1;05/04/2025 0:23;a;7;1729
voltageReceiver2;05/04/2025 0:23;a;7;16
status;05/04/2025 0:23;ALL;7;1
voltageReceiver1;05/04/2025 0:23;b;7;1706
voltageReceiver2;05/04/2025 0:23;b;7;1624
status;05/04/2025 0:24;ALL;7;1
voltageReceiver1;05/04/2025 0:24;a;7;1729
voltageReceiver2;05/04/2025 0:24;a;7;1588
status;05/04/2025 0:24;ALL;7;1
voltageReceiver1;05/04/2025 0:24;b;7;1706
voltageReceiver2;05/04/2025 0:24;b;7;1612
status;05/04/2025 0:24;ALL;7;1
voltageReceiver1;05/04/2025 0:24;a;7;1729
voltageReceiver2;05/04/2025 0:24;a;7;1588
status;05/04/2025 0:24;ALL;7;1
voltageReceiver1;05/04/2025 0:24;b;7;1706
voltageReceiver2;05/04/2025 0:24;b;7;1612
status;05/04/2025 0:25;ALL;7;1
voltageReceiver1;05/04/2025 0:25;a;7;1718
voltageReceiver2;05/04/2025 0:25;a;7;1588
status;05/04/2025 0:25;ALL;7;1
voltageReceiver1;05/04/2025 0:25;b;7;1706
voltageReceiver2;05/04/2025 0:25;b;7;1624
status;05/04/2025 0:25;ALL;7;1
voltageReceiver1;05/04/2025 0:25;a;7;1718
voltageReceiver2;05/04/2025 0:25;a;7;1588
status;05/04/2025 0:25;ALL;7;1
voltageReceiver1;05/04/2025 0:25;b;7;1682
voltageReceiver2;05/04/2025 0:25;b;7;1624
status;05/04/2025 0:26;ALL;7;1
voltageReceiver1;05/04/2025 0:26;a;7;1741
voltageReceiver2;05/04/2025 0:26;a;7;1588
status;05/04/2025 0:26;ALL;7;1
voltageReceiver1;05/04/2025 0:26;b;7;1729
voltageReceiver2;05/04/2025 0:26;b;7;1624
status;05/04/2025 0:26;ALL;7;1
voltageReceiver1;05/04/2025 0:26;a;7;1729
voltageReceiver2;05/04/2025 0:26;a;7;1588
status;05/04/2025 0:26;ALL;7;1
voltageReceiver1;05/04/2025 0:26;b;7;1706
voltageReceiver2;05/04/2025 0:26;b;7;1624
status;05/04/2025 0:27;ALL;7;1
voltageReceiver1;05/04/2025 0:27;a;7;1765
voltageReceiver2;05/04/2025 0:27;a;7;1588
status;05/04/2025 0:27;ALL;7;1
voltageReceiver1;05/04/2025 0:27;b;7;1753
voltageReceiver2;05/04/2025 0:27;b;7;1624
status;05/04/2025 0:27;ALL;7;1
voltageReceiver1;05/04/2025 0:27;a;7;1753
voltageReceiver2;05/04/2025 0:27;a;7;1588
status;05/04/2025 0:27;ALL;7;1
voltageReceiver1;05/04/2025 0:27;b;7;1729
voltageReceiver2;05/04/2025 0:27;b;7;1612
status;05/04/2025 0:28;ALL;7;1
voltageReceiver1;05/04/2025 0:28;a;7;1753
voltageReceiver2;05/04/2025 0:28;a;7;16
status;05/04/2025 0:28;ALL;7;1
voltageReceiver1;05/04/2025 0:28;b;7;1753
voltageReceiver2;05/04/2025 0:28;b;7;1624
status;05/04/2025 0:28;ALL;7;1
voltageReceiver1;05/04/2025 0:28;a;7;1741
voltageReceiver2;05/04/2025 0:28;a;7;16
status;05/04/2025 0:28;ALL;7;1
voltageReceiver1;05/04/2025 0:28;b;7;1741
voltageReceiver2;05/04/2025 0:28;b;7;1624
status;05/04/2025 0:29;ALL;7;1
voltageReceiver1;05/04/2025 0:29;a;7;1765
voltageReceiver2;05/04/2025 0:29;a;7;1588
status;05/04/2025 0:29;ALL;7;1
voltageReceiver1;05/04/2025 0:29;b;7;1765
voltageReceiver2;05/04/2025 0:29;b;7;1624
status;05/04/2025 0:29;ALL;7;1
voltageReceiver1;05/04/2025 0:29;a;7;1765
voltageReceiver2;05/04/2025 0:29;a;7;1588
status;05/04/2025 0:29;ALL;7;1
voltageReceiver1;05/04/2025 0:29;b;7;1765
voltageReceiver2;05/04/2025 0:29;b;7;1624
status;05/04/2025 0:30;ALL;7;1
voltageReceiver1;05/04/2025 0:30;a;7;1753
voltageReceiver2;05/04/2025 0:30;a;7;1588
status;05/04/2025 0:30;ALL;7;1
voltageReceiver1;05/04/2025 0:30;b;7;1741
voltageReceiver2;05/04/2025 0:30;b;7;1624
status;05/04/2025 0:30;ALL;7;1
voltageReceiver1;05/04/2025 0:30;a;7;1753
voltageReceiver2;05/04/2025 0:30;a;7;1588
status;05/04/2025 0:30;ALL;7;1
voltageReceiver1;05/04/2025 0:30;b;7;1741
voltageReceiver2;05/04/2025 0:30;b;7;1624
status;05/04/2025 0:31;ALL;7;1
voltageReceiver1;05/04/2025 0:31;a;7;1729
voltageReceiver2;05/04/2025 0:31;a;7;16
status;05/04/2025 0:31;ALL;7;1
voltageReceiver1;05/04/2025 0:31;b;7;1718
voltageReceiver2;05/04/2025 0:31;b;7;1624
status;05/04/2025 0:31;ALL;7;1
voltageReceiver1;05/04/2025 0:31;a;7;1741
voltageReceiver2;05/04/2025 0:31;a;7;16
status;05/04/2025 0:31;ALL;7;1
voltageReceiver1;05/04/2025 0:31;b;7;1729
voltageReceiver2;05/04/2025 0:31;b;7;1624
status;05/04/2025 0:32;ALL;7;1
voltageReceiver1;05/04/2025 0:32;a;7;1741
voltageReceiver2;05/04/2025 0:32;a;7;1588
status;05/04/2025 0:32;ALL;7;1
voltageReceiver1;05/04/2025 0:32;b;7;1718
voltageReceiver2;05/04/2025 0:32;b;7;1612
status;05/04/2025 0:32;ALL;7;1
voltageReceiver1;05/04/2025 0:32;a;7;1741
voltageReceiver2;05/04/2025 0:32;a;7;1588
status;05/04/2025 0:32;ALL;7;1
voltageReceiver1;05/04/2025 0:32;b;7;1729
voltageReceiver2;05/04/2025 0:32;b;7;1612
status;05/04/2025 0:33;ALL;7;1
voltageReceiver1;05/04/2025 0:33;a;7;1729
voltageReceiver2;05/04/2025 0:33;a;7;1588
status;05/04/2025 0:33;ALL;7;1
voltageReceiver1;05/04/2025 0:33;b;7;1694
voltageReceiver2;05/04/2025 0:33;b;7;1612
status;05/04/2025 0:33;ALL;7;1
voltageReceiver1;05/04/2025 0:33;a;7;1729
voltageReceiver2;05/04/2025 0:33;a;7;1588
status;05/04/2025 0:33;ALL;7;1
voltageReceiver1;05/04/2025 0:33;b;7;1694
voltageReceiver2;05/04/2025 0:33;b;7;1624
status;05/04/2025 0:34;ALL;7;1
voltageReceiver1;05/04/2025 0:34;a;7;1741
voltageReceiver2;05/04/2025 0:34;a;7;1588
status;05/04/2025 0:34;ALL;7;1
voltageReceiver1;05/04/2025 0:34;b;7;1706
voltageReceiver2;05/04/2025 0:34;b;7;1612
status;05/04/2025 0:34;ALL;7;1
voltageReceiver1;05/04/2025 0:34;a;7;1729
voltageReceiver2;05/04/2025 0:34;a;7;1588
status;05/04/2025 0:34;ALL;7;1
voltageReceiver1;05/04/2025 0:34;b;7;1706
voltageReceiver2;05/04/2025 0:34;b;7;1612
status;05/04/2025 0:35;ALL;7;1
voltageReceiver1;05/04/2025 0:35;a;7;1753
voltageReceiver2;05/04/2025 0:35;a;7;1588
status;05/04/2025 0:35;ALL;7;1
voltageReceiver1;05/04/2025 0:35;b;7;1706
voltageReceiver2;05/04/2025 0:35;b;7;1612
status;05/04/2025 0:35;ALL;7;1
voltageReceiver1;05/04/2025 0:35;a;7;1741
voltageReceiver2;05/04/2025 0:35;a;7;1588
status;05/04/2025 0:35;ALL;7;1
voltageReceiver1;05/04/2025 0:35;b;7;1706
voltageReceiver2;05/04/2025 0:35;b;7;1612
status;05/04/2025 0:36;ALL;7;1
voltageReceiver1;05/04/2025 0:36;a;7;1741
voltageReceiver2;05/04/2025 0:36;a;7;16
status;05/04/2025 0:36;ALL;7;1
voltageReceiver1;05/04/2025 0:36;b;7;1718
voltageReceiver2;05/04/2025 0:36;b;7;1624
status;05/04/2025 0:36;ALL;7;1
voltageReceiver1;05/04/2025 0:36;a;7;1729
voltageReceiver2;05/04/2025 0:36;a;7;16
status;05/04/2025 0:36;ALL;7;1
voltageReceiver1;05/04/2025 0:36;b;7;1706
voltageReceiver2;05/04/2025 0:36;b;7;1624
status;05/04/2025 0:37;ALL;7;1
voltageReceiver1;05/04/2025 0:37;a;7;1753
voltageReceiver2;05/04/2025 0:37;a;7;1588
status;05/04/2025 0:37;ALL;7;1
voltageReceiver1;05/04/2025 0:37;b;7;1741
voltageReceiver2;05/04/2025 0:37;b;7;1612
status;05/04/2025 0:37;ALL;7;1
voltageReceiver1;05/04/2025 0:37;a;7;1741
voltageReceiver2;05/04/2025 0:37;a;7;1588
status;05/04/2025 0:37;ALL;7;1
voltageReceiver1;05/04/2025 0:37;b;7;1729
voltageReceiver2;05/04/2025 0:37;b;7;1612
status;05/04/2025 0:38;ALL;7;1
voltageReceiver1;05/04/2025 0:38;a;7;1753
voltageReceiver2;05/04/2025 0:38;a;7;1588
status;05/04/2025 0:38;ALL;7;1
voltageReceiver1;05/04/2025 0:38;b;7;1729
voltageReceiver2;05/04/2025 0:38;b;7;1624
status;05/04/2025 0:38;ALL;7;1
voltageReceiver1;05/04/2025 0:38;a;7;1753
voltageReceiver2;05/04/2025 0:38;a;7;1588
status;05/04/2025 0:38;ALL;7;1
voltageReceiver1;05/04/2025 0:38;b;7;1729
voltageReceiver2;05/04/2025 0:38;b;7;1624
status;05/04/2025 0:39;ALL;7;1
voltageReceiver1;05/04/2025 0:39;a;7;1741
voltageReceiver2;05/04/2025 0:39;a;7;16
status;05/04/2025 0:39;ALL;7;1
voltageReceiver1;05/04/2025 0:39;b;7;1729
voltageReceiver2;05/04/2025 0:39;b;7;1624
status;05/04/2025 0:39;ALL;7;1
voltageReceiver1;05/04/2025 0:39;a;7;1741
voltageReceiver2;05/04/2025 0:39;a;7;16
status;05/04/2025 0:39;ALL;7;1
voltageReceiver1;05/04/2025 0:39;b;7;1729
voltageReceiver2;05/04/2025 0:39;b;7;1624
status;05/04/2025 0:40;ALL;7;1
voltageReceiver1;05/04/2025 0:40;a;7;1753
voltageReceiver2;05/04/2025 0:40;a;7;1588
status;05/04/2025 0:40;ALL;7;1
voltageReceiver1;05/04/2025 0:40;b;7;1718
voltageReceiver2;05/04/2025 0:40;b;7;1624
status;05/04/2025 0:40;ALL;7;1
voltageReceiver1;05/04/2025 0:40;a;7;1753
voltageReceiver2;05/04/2025 0:40;a;7;1588
status;05/04/2025 0:40;ALL;7;1
voltageReceiver1;05/04/2025 0:40;b;7;1729
voltageReceiver2;05/04/2025 0:40;b;7;1624
status;05/04/2025 0:41;ALL;7;1
voltageReceiver1;05/04/2025 0:41;a;7;1741
voltageReceiver2;05/04/2025 0:41;a;7;1588
status;05/04/2025 0:41;ALL;7;1
voltageReceiver1;05/04/2025 0:41;b;7;1706
voltageReceiver2;05/04/2025 0:41;b;7;1624
status;05/04/2025 0:41;ALL;7;1
voltageReceiver1;05/04/2025 0:41;a;7;1741
voltageReceiver2;05/04/2025 0:41;a;7;1588
status;05/04/2025 0:41;ALL;7;1
voltageReceiver1;05/04/2025 0:41;b;7;1706
voltageReceiver2;05/04/2025 0:41;b;7;1624
status;05/04/2025 0:42;ALL;7;1
voltageReceiver1;05/04/2025 0:42;a;7;1741
voltageReceiver2;05/04/2025 0:42;a;7;1588
status;05/04/2025 0:42;ALL;7;1
voltageReceiver1;05/04/2025 0:42;b;7;1706
voltageReceiver2;05/04/2025 0:42;b;7;1624
status;05/04/2025 0:42;ALL;7;1
voltageReceiver1;05/04/2025 0:42;a;7;1741
voltageReceiver2;05/04/2025 0:42;a;7;1588
status;05/04/2025 0:42;ALL;7;1
voltageReceiver1;05/04/2025 0:42;b;7;1706
voltageReceiver2;05/04/2025 0:42;b;7;1624
status;05/04/2025 0:43;ALL;7;1
voltageReceiver1;05/04/2025 0:43;a;7;1741
voltageReceiver2;05/04/2025 0:43;a;7;1588
status;05/04/2025 0:43;ALL;7;1
voltageReceiver1;05/04/2025 0:43;b;7;1706
voltageReceiver2;05/04/2025 0:43;b;7;1624
status;05/04/2025 0:43;ALL;7;1
voltageReceiver1;05/04/2025 0:43;a;7;1741
voltageReceiver2;05/04/2025 0:43;a;7;1588
status;05/04/2025 0:43;ALL;7;1
voltageReceiver1;05/04/2025 0:43;b;7;1706
voltageReceiver2;05/04/2025 0:43;b;7;1624
status;05/04/2025 0:44;ALL;7;1
voltageReceiver1;05/04/2025 0:44;a;7;1741
voltageReceiver2;05/04/2025 0:44;a;7;1588
status;05/04/2025 0:44;ALL;7;1
voltageReceiver1;05/04/2025 0:44;b;7;1706
voltageReceiver2;05/04/2025 0:44;b;7;1624
status;05/04/2025 0:44;ALL;7;1
voltageReceiver1;05/04/2025 0:44;a;7;1729
voltageReceiver2;05/04/2025 0:44;a;7;1588
status;05/04/2025 0:44;ALL;7;1
voltageReceiver1;05/04/2025 0:44;b;7;1706
voltageReceiver2;05/04/2025 0:44;b;7;1624
status;05/04/2025 0:45;ALL;7;1
voltageReceiver1;05/04/2025 0:45;a;7;1753
voltageReceiver2;05/04/2025 0:45;a;7;1588
status;05/04/2025 0:45;ALL;7;1
voltageReceiver1;05/04/2025 0:45;b;7;1718
voltageReceiver2;05/04/2025 0:45;b;7;1624
status;05/04/2025 0:45;ALL;7;1
voltageReceiver1;05/04/2025 0:45;a;7;1753
voltageReceiver2;05/04/2025 0:45;a;7;1588
status;05/04/2025 0:45;ALL;7;1
voltageReceiver1;05/04/2025 0:45;b;7;1718
voltageReceiver2;05/04/2025 0:45;b;7;1624
status;05/04/2025 0:46;ALL;7;1
voltageReceiver1;05/04/2025 0:46;a;7;1753
voltageReceiver2;05/04/2025 0:46;a;7;1588
status;05/04/2025 0:46;ALL;7;1
voltageReceiver1;05/04/2025 0:46;b;7;1718
voltageReceiver2;05/04/2025 0:46;b;7;1624
status;05/04/2025 0:46;ALL;7;1
